Title,Description,Links,"Publication Date"
"Квартальная выручка Lufthansa Group выросла на 40%","Выручка Lufthansa Group в первом квартале составила €7 млрд, что на 40% больше, чем годом ранее. При этом компания получила чистый убыток €467 млн.",https://www.kommersant.ru/doc/5967350,"Wed, 03 May 2023 13:45:39 +0300"
"МВФ: бюджет Саудовской Аравии будет дефицитным при цене нефти ниже $80 за баррель","Международный валютный фонд (МВФ) считает, что власти Саудовской Аравии не сумеют сбалансировать бюджет, если нефть будет стоить меньше $80 за баррель, пишет Bloomberg. По подсчетам фонда, безубыточная цена на саудовскую нефть в 2023 году составит $80,9 за баррель.",https://www.kommersant.ru/doc/5967355,"Wed, 03 May 2023 13:44:38 +0300"
"Пресс-секретарь актера Данилы Козловского отрицает его отъезд из России","Актер Данила Козловский не уезжал из России, заявил его пресс-секретарь Егор Козловский. Об отъезде артиста написал Telegram-канал SHOT со ссылкой на источник.",https://www.kommersant.ru/doc/5967348,"Wed, 03 May 2023 13:40:00 +0300"
"Bloomberg: Норвегия увеличит добычу нефти и газа в Баренцевом море","Норвежские нефтяные компании возобновляют планы по разработке новых месторождений в Баренцевом море, чтобы страна могла оставаться ключевым поставщиком сырья в Европу, пишет Bloomberg. Сообщается, что в Баренцевом море могут находиться порядка 60% неразведанных запасов нефти и газа Норвегии.",https://www.kommersant.ru/doc/5967313,"Wed, 03 May 2023 13:30:56 +0300"
"Евросоюз представил план по наращиванию производства снарядов для артиллерии ВСУ","Еврокомиссия (ЕК) представила план наращивания производства боеприпасов, на реализацию которого выделит €500 млн из бюджета Евросоюза (ЕС) и €1 млрд из Фонда мира. 11 стран начнут ускоренный выпуск снарядов натовского калибра 155 мм, 2 страны ЕС — снарядов калибра 152 мм.",https://www.kommersant.ru/doc/5967339,"Wed, 03 May 2023 13:23:17 +0300"
"В офисе президента Украины недовольны скоростью принятия санкций против России","Замруководителя офиса президента Украины Игорь Жовква заявил, что украинской стороне не нравится скорость принятия европейскими партнерами санкций в отношении России. Он указал, что наибольший прогресс в этом вопросе показали США.",https://www.kommersant.ru/doc/5967329,"Wed, 03 May 2023 13:15:28 +0300"
"Глава СПЧ призвал ужесточить наказание за нападения собак на людей","Глава президентского Совета по правам человека (СПЧ) Валерий Фадеев считает недостаточным предусмотренное законом наказание за нападение собак на людей. Он предложил его ужесточить.",https://www.kommersant.ru/doc/5967312,"Wed, 03 May 2023 13:09:10 +0300"
"МИД РФ анонсировал новый раунд консультаций с ООН по зерновой сделке","Очередной раунд консультаций между РФ и ООН по выполнению части зерновой сделки о доступе российской сельхозпродукции и удобрений на рынки пройдет 5 мая в Москве, сообщила официальный представитель МИД РФ Мария Захарова. Сроки проведения встреч на высоком уровне пока не ясны.",https://www.kommersant.ru/doc/5967321,"Wed, 03 May 2023 12:58:20 +0300"
"Блогер Митрошина погасила 127 млн руб. долга перед налоговой","Блогер Александра Митрошина, в отношении которой возбуждено уголовное дело за уклонение от уплаты налогов, сообщила, что полностью погасила долг 127 млн. руб. Девушка признала, что «не уделила должного внимания бухгалтерской отчетности», в результате чего «некоторые налоги были недоплачены». Во время прямого эфира на YouTube она рассказала, что вчера, 2 мая, выплатила последние 9 млн руб.",https://www.kommersant.ru/doc/5967308,"Wed, 03 May 2023 12:50:36 +0300"
"Мировой объем торгов биткойном в апреле упал более чем вдвое","Криптовалютные инвесторы в апреле были гораздо менее активны, чем обычно, сообщает портал BitcoinCasinos. Исторически именно апрель приносит инвесторам самую большую среднемесячную прибыль.",https://www.kommersant.ru/doc/5967278,"Wed, 03 May 2023 12:47:05 +0300"
"Bloomberg: из-за соперничества с Китаем США прекратили критиковать Индию","Администрация президента США Джо Байдена отказалась от публичной критики Индии, поскольку Вашингтон планирует привлечь Нью-Дели на свою сторону в соперничестве с Китаем. Об этом сообщает Bloomberg со ссылкой на американских чиновников.",https://www.kommersant.ru/doc/5967300,"Wed, 03 May 2023 12:41:32 +0300"
"Песков заявил, что перспективы продления зерновой сделки дают скромные поводы для оптимизма","Россия заинтересована в соблюдении условий сделки по вывозу украинского зерна, заявил пресс-секретарь президента РФ Дмитрий Песков. По его словам, пока поводы для оптимизма в вопросе продления сделки скромные.",https://www.kommersant.ru/doc/5967310,"Wed, 03 May 2023 12:38:33 +0300"
"Президент Украины Владимир Зеленский приехал в Финляндию","Президент Украины Владимир Зеленский прибыл с необъявленным визитом в Финляндию. Там сегодня, 3 мая, состоится саммит стран Северной Европы и Украины.",https://www.kommersant.ru/doc/5967293,"Wed, 03 May 2023 12:24:26 +0300"
"Экс-главреда Telegram-канала Nexta Протасевича приговорили в Белоруссии к 8 годам колонии","Минский областной суд приговорил экс-главреда Telegram-канала Nexta Романа Протасевича к восьми годам колонии. Он признан виновным по делу о заговоре для захвата государственной власти в Белоруссии неконституционным путем, сообщает БЕЛТА.",https://www.kommersant.ru/doc/5967289,"Wed, 03 May 2023 12:09:53 +0300"
